isofile,isoprotein,isopep,mw,isoz_charge,tim,chisq,symb,mz,B,OFF,GW,AMP_U,AMP_L,AMP_S,avg_wr1A,avg_wr2A,avg_wr3A,avg_wr4A,avavg_wr6A,avg_wr7A,avg_wr8A,avg_wr9A,avg_wr10A,avg_wr11A,avg_wr12A,avg_wr13A,avg_wr14A,avg_wr15A,avg_wr16A,avg_wr17A,avg_wr18A,avg_wr19A,avg_wr20A,avg_wr21A,avg_wr1B,avg_wr2B,avg_wr3B,avg_wr4B,avavg_wr6B,avg_wr7B,avg_wr8B,avg_wr9B,avg_wr10B,avg_wr11B,avg_wr12B,avg_wr13B,avg_wr14B,avg_wr15B,avg_wr16B,avg_wr17B,avg_wr18B,avg_wr19B,avg_wr20B,avg_wr21B,avg_wr1C,avg_wr2C,avg_wr3C,avg_wr4C,avavg_wr6C,avg_wr7C,avg_wr8C,avg_wr9C,avg_wr10C,avg_wr11C,avg_wr12C,avg_wr13C,avg_wr14C,avg_wr15C,avg_wr16C,avg_wr17C,avg_wr18C,avg_wr19C,avg_wr20C,avg_wr21C,avg_wr1D,avg_wr2D,avg_wr3D,avg_wr4D,avavg_wr6D,avg_wr7D,avg_wr8D,avg_wr9D,avg_wr10D,avg_wr11D,avg_wr12D,avg_wr13D,avg_wr14D,avg_wr15D,avg_wr16D,avg_wr17D,avg_wr18D,avg_wr19D,avg_wr20D,avg_wr21D,avg_wr1E,avg_wr2E,avg_wr3E,avg_wr4E,avavg_wr6E,avg_wr7E,avg_wr8E,avg_wr9E,avg_wr10E,avg_wr11E,avg_wr12E,avg_wr13E,avg_wr14E,avg_wr15E,avg_wr16E,avg_wr17E,avg_wr18E,avg_wr19E,avg_wr20E,avg_wr21E,isoid,ailid_n14,ailid_n15,rt_n14,rt_n15,mz_n14,mz_n15,abundance_n14,abundance_n15,ailcharge,pks_multimer_n14,pks_multimer_n15,pks_ailiontype_n14,pks_ailiontype_n15,pks_featureid_n14,pks_featureid_n15,matchmode,ppm_n14,ppm_n15,sampleid,digestionid,digestpepid,n14mass,n15mass,protein,startres,endres,iontype,charge,missed,seq,mod,n14prox,n15prox,seqmod,file,comment,frac_lab,display_flag
msuPulseA_peaks/XXX_0_0_0_306.15998565236_6.342,XX,MR, 306.160, 1,0  , 0.82156E+02,19,   0.000, 0.10859E+03, 0.11855E-01, 0.86273E-02, 0.47529E+01, 0.52059E+00, 0.17420E+01, 0.26633E-02, 0.26633E-02, 0.25229E+02, 0.71655E+01, 0.71655E+01, 0.99175E+05, 0.10467E-03, 0.10467E-03, 0.44542E+00, 0.13605E+00, 0.46846E+03, 0.31917E-02, 0.77179E-03, 0.25304E+01, 0.16827E-04, 0.22002E-03, 0.86491E+00, 0.38846E-05, 0.21701E-03, 0.85742E+00, 0.37670E-05, 0.52066E-03, 0.52066E-03, 0.49322E+01, 0.14008E+01, 0.14008E+01, 0.19388E+05, 0.20462E-04, 0.20462E-04, 0.87079E-01, 0.26597E-01, 0.91582E+02, 0.62396E-03, 0.15088E-03, 0.49469E+00, 0.32895E-05, 0.43014E-04, 0.16909E+00, 0.75942E-06, 0.42426E-04, 0.16762E+00, 0.73644E-06, 0.27075E+00, 0.27075E+00, 0.25647E+04, 0.72843E+03, 0.72843E+03, 0.10082E+08, 0.10640E-01, 0.10640E-01, 0.45281E+02, 0.13831E+02, 0.47622E+05, 0.32446E+00, 0.78459E-01, 0.25724E+03, 0.17106E-02, 0.22367E-01, 0.87925E+02, 0.39490E-03, 0.22061E-01, 0.87164E+02, 0.38295E-03, 0.49573E-05, 0.49573E-05, 0.46960E-01, 0.13337E-01, 0.13337E-01, 0.18460E+03, 0.19482E-06, 0.19482E-06, 0.82908E-03, 0.25323E-03, 0.87195E+00, 0.59408E-05, 0.14366E-05, 0.47099E-02, 0.31320E-07, 0.40954E-06, 0.16099E-02, 0.72304E-08, 0.40394E-06, 0.15959E-02, 0.70116E-08,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,0,2108,3910,6.353,6.331,306.1518,311.1378,148.01,57.71,1,1,1,M+H,M+H,841,1717,0,-26.7,-23.7,0,259,259,306.15998565236,311.14516011936,XXX,0,0,M+H,1,0,MR,-,0.977491,0.968479,MR,msuPulseA_peaks/XXX_0_0_0_306.15998565236_6.342.txt,,0.0987183060933082,1
msuPulseA_peaks/XXX_0_0_0_322.18791465236_8.4525,XX,FR, 322.188, 1,0  , 0.31639E+02,19,   0.000, 0.12955E+03, 0.13974E-01, 0.80466E-02, 0.33619E+01, 0.57126E+00, 0.74030E+00, 0.26140E-02, 0.26140E-02, 0.62354E+01, 0.34669E+01, 0.34669E+01, 0.90905E+04, 0.12625E-03, 0.12625E-03, 0.19898E+00, 0.72210E-01, 0.10728E+03, 0.27462E-02, 0.54075E-03, 0.10115E+01, 0.16226E-04, 0.68310E-04, 0.99589E-01, 0.21799E-05, 0.65030E-04, 0.95836E-01, 0.20053E-05, 0.55177E-03, 0.55177E-03, 0.13161E+01, 0.73179E+00, 0.73179E+00, 0.19188E+04, 0.26648E-04, 0.26648E-04, 0.42000E-01, 0.15242E-01, 0.22644E+02, 0.57965E-03, 0.11414E-03, 0.21350E+00, 0.34249E-05, 0.14419E-04, 0.21021E-01, 0.46012E-06, 0.13726E-04, 0.20229E-01, 0.42327E-06, 0.28250E+00, 0.28250E+00, 0.67387E+03, 0.37468E+03, 0.37468E+03, 0.98243E+06, 0.13644E-01, 0.13644E-01, 0.21504E+02, 0.78039E+01, 0.11594E+05, 0.29678E+00, 0.58439E-01, 0.10931E+03, 0.17535E-02, 0.73824E-02, 0.10763E+02, 0.23558E-03, 0.70278E-02, 0.10357E+02, 0.21671E-03, 0.76483E-05, 0.76483E-05, 0.18244E-01, 0.10144E-01, 0.10144E-01, 0.26597E+02, 0.36938E-06, 0.36938E-06, 0.58218E-03, 0.21128E-03, 0.31388E+00, 0.80349E-05, 0.15821E-05, 0.29594E-02, 0.47474E-07, 0.19987E-06, 0.29138E-03, 0.63780E-08, 0.19027E-06, 0.28040E-03, 0.58672E-08,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,1,1857,4908,8.467,8.438,322.1785,327.1642,177.23,34.18,1,1,1,M+H,M+H,726,2245,0,-29.2,-27.2,0,891,891,322.18791465236,327.17308911936,XXX,0,0,M+H,1,0,FR,-,0.961984,2.017887,FR,msuPulseA_peaks/XXX_0_0_0_322.18791465236_8.4525.txt,,0.145241993714977,1
msuPulseA_peaks/XXX_0_0_0_328.690487127405_28.7705,XX,DGLPRV, 657.381, 2,0  , 0.74254E+04,19,   0.000, 0.62955E+03, 0.28380E-01, 0.38142E-02, 0.24925E+02, 0.79552E+01, 0.42789E+01, 0.50801E-02, 0.50801E-02, 0.20244E+03, 0.13069E+03, 0.13069E+03, 0.59043E+07, 0.62696E-04, 0.62696E-04, 0.15400E+01, 0.74616E+00, 0.24185E+05, 0.60424E-02, 0.31186E-02, 0.11124E+03, 0.22173E-04, 0.35628E-03, 0.10391E+02, 0.27103E-05, 0.35208E-03, 0.10352E+02, 0.26386E-05, 0.87373E-03, 0.87373E-03, 0.34818E+02, 0.22478E+02, 0.22478E+02, 0.10155E+07, 0.10783E-04, 0.10783E-04, 0.26487E+00, 0.12833E+00, 0.41596E+04, 0.10392E-02, 0.53636E-03, 0.19133E+02, 0.38134E-05, 0.61276E-04, 0.17872E+01, 0.46615E-06, 0.60554E-04, 0.17804E+01, 0.45381E-06, 0.33988E+00, 0.33988E+00, 0.13544E+05, 0.87438E+04, 0.87438E+04, 0.39502E+09, 0.41946E-02, 0.41946E-02, 0.10303E+03, 0.49921E+02, 0.16181E+07, 0.40426E+00, 0.20864E+00, 0.74426E+04, 0.14834E-02, 0.23836E-01, 0.69520E+03, 0.18133E-03, 0.23556E-01, 0.69257E+03, 0.17653E-03, 0.15857E-05, 0.15857E-05, 0.63188E-01, 0.40793E-01, 0.40793E-01, 0.18429E+04, 0.19569E-07, 0.19569E-07, 0.48069E-03, 0.23290E-03, 0.75490E+01, 0.18860E-05, 0.97339E-06, 0.34722E-01, 0.69207E-08, 0.11121E-06, 0.32434E-02, 0.84597E-09, 0.10989E-06, 0.32311E-02, 0.82359E-09,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,2,119,1296,28.795,28.746,328.6801,333.1668,1487.48,248.90,2,1,1,M+2H,M+2H,38,478,0,-31.6,-31.0,0,1124,1124,328.690487127405,333.177144147705,XXX,0,0,M+2H,2,0,DGLPRV,-----,0.018193,0.001336,DGLPRV,msuPulseA_peaks/XXX_0_0_0_328.690487127405_28.7705.txt,,0.241945000334548,1
msuPulseA_peaks/XXX_0_0_0_328.690487127405_36.5175,XX,DGLPRV, 657.381, 2,0  , 0.11603E+05,19,   0.000, 0.46386E+03, 0.84315E-02, 0.34796E-02, 0.53723E+01, 0.11112E+02, 0.16205E+01, 0.27643E-01, 0.27643E-01, 0.10679E+04, 0.10006E+04, 0.10006E+04, 0.56811E+08, 0.28960E-03, 0.28960E-03, 0.56852E+01, 0.46090E+01, 0.22179E+06, 0.29106E-01, 0.20781E-01, 0.88232E+03, 0.14483E-03, 0.92091E-02, 0.48992E+03, 0.49028E-04, 0.91793E-02, 0.48941E+03, 0.48407E-04, 0.17691E-02, 0.17691E-02, 0.68341E+02, 0.64037E+02, 0.64037E+02, 0.36357E+07, 0.18533E-04, 0.18533E-04, 0.36384E+00, 0.29496E+00, 0.14194E+05, 0.18627E-02, 0.13299E-02, 0.56466E+02, 0.92684E-05, 0.58936E-03, 0.31353E+02, 0.31376E-05, 0.58745E-03, 0.31320E+02, 0.30979E-05, 0.68816E+00, 0.68816E+00, 0.26585E+05, 0.24910E+05, 0.24910E+05, 0.14143E+10, 0.72095E-02, 0.72095E-02, 0.14153E+03, 0.11474E+03, 0.55213E+07, 0.72460E+00, 0.51734E+00, 0.21965E+05, 0.36054E-02, 0.22926E+00, 0.12196E+05, 0.12205E-02, 0.22852E+00, 0.12184E+05, 0.12051E-02, 0.14132E-04, 0.14132E-04, 0.54593E+00, 0.51154E+00, 0.51154E+00, 0.29043E+05, 0.14805E-06, 0.14805E-06, 0.29064E-02, 0.23562E-02, 0.11338E+03, 0.14880E-04, 0.10624E-04, 0.45106E+00, 0.74039E-07, 0.47079E-05, 0.25046E+00, 0.25064E-07, 0.46927E-05, 0.25020E+00, 0.24747E-07,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,3,821,2521,36.486,36.549,328.6801,333.1707,369.29,100.52,2,1,1,M+2H,M+2H,292,1037,0,-31.6,-19.3,0,1124,1124,328.690487127405,333.177144147705,XXX,0,0,M+2H,2,0,DGLPRV,-----,0.018193,0.001336,DGLPRV,msuPulseA_peaks/XXX_0_0_0_328.690487127405_36.5175.txt,,0.674095957972131,1
msuPulseA_peaks/XXX_0_0_0_345.25018055575_6.5115,XX,VVK, 345.250, 1,0  , 0.34224E+02,19,   0.000, 0.10595E+03, 0.16086E-01, 0.77445E-02, 0.36361E+01, 0.49798E+00, 0.68328E+00, 0.23737E-02, 0.23737E-02, 0.10299E+02, 0.34793E+01, 0.34793E+01, 0.22255E+05, 0.11342E-03, 0.11342E-03, 0.27604E+00, 0.87526E-01, 0.18155E+03, 0.28014E-02, 0.53154E-03, 0.11959E+01, 0.14502E-04, 0.10470E-03, 0.22625E+00, 0.28063E-05, 0.10142E-03, 0.22028E+00, 0.26668E-05, 0.54475E-03, 0.54475E-03, 0.23635E+01, 0.79848E+00, 0.79848E+00, 0.51074E+04, 0.26028E-04, 0.26028E-04, 0.63349E-01, 0.20087E-01, 0.41666E+02, 0.64290E-03, 0.12198E-03, 0.27446E+00, 0.33280E-05, 0.24029E-04, 0.51923E-01, 0.64403E-06, 0.23275E-04, 0.50553E-01, 0.61201E-06, 0.24732E+00, 0.24732E+00, 0.10731E+04, 0.36251E+03, 0.36251E+03, 0.23187E+07, 0.11817E-01, 0.11817E-01, 0.28761E+02, 0.91194E+01, 0.18916E+05, 0.29188E+00, 0.55381E-01, 0.12461E+03, 0.15109E-02, 0.10909E-01, 0.23573E+02, 0.29239E-03, 0.10567E-01, 0.22951E+02, 0.27785E-03, 0.57460E-05, 0.57460E-05, 0.24931E-01, 0.84223E-02, 0.84223E-02, 0.53872E+02, 0.27454E-06, 0.27454E-06, 0.66820E-03, 0.21187E-03, 0.43949E+00, 0.67813E-05, 0.12867E-05, 0.28950E-02, 0.35104E-07, 0.25345E-06, 0.54768E-03, 0.67932E-08, 0.24550E-06, 0.53323E-03, 0.64554E-08,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,4,1980,6065,6.509,6.514,345.2408,349.2291,166.44,24.63,1,1,1,M+H,M+H,779,2885,0,-27.2,-26.4,0,1785,1785,345.25018055575,349.23832012935,XXX,0,0,M+H,1,0,VVK,--,0.025152,0.036386,VVK,msuPulseA_peaks/XXX_0_0_0_345.25018055575_6.5115.txt,,0.120457272234693,1
msuPulseA_peaks/XXX_0_0_0_363.16684485461_32.2885,XX,ASW, 363.167, 1,0  , 0.94558E+01,19,   0.000, 0.87682E+02, 0.16034E-01, 0.76584E-02, 0.13144E+01, 0.36294E+00, 0.30647E+00, 0.40255E-02, 0.40255E-02, 0.53091E+01, 0.26292E+01, 0.26292E+01, 0.48200E+04, 0.25542E-03, 0.25542E-03, 0.21863E+00, 0.89111E-01, 0.75790E+02, 0.43812E-02, 0.10157E-02, 0.11213E+01, 0.37726E-04, 0.14761E-03, 0.13401E+00, 0.60786E-05, 0.13914E-03, 0.12947E+00, 0.54990E-05, 0.74787E-03, 0.74787E-03, 0.98633E+00, 0.48845E+00, 0.48845E+00, 0.89547E+03, 0.47453E-04, 0.47453E-04, 0.40618E-01, 0.16555E-01, 0.14080E+02, 0.81395E-03, 0.18869E-03, 0.20832E+00, 0.70089E-05, 0.27423E-04, 0.24897E-01, 0.11293E-05, 0.25850E-04, 0.24053E-01, 0.10216E-05, 0.33355E+00, 0.33355E+00, 0.43991E+03, 0.21785E+03, 0.21785E+03, 0.39938E+06, 0.21164E-01, 0.21164E-01, 0.18115E+02, 0.73836E+01, 0.62799E+04, 0.36302E+00, 0.84156E-01, 0.92910E+02, 0.31260E-02, 0.12231E-01, 0.11104E+02, 0.50366E-03, 0.11529E-01, 0.10727E+02, 0.45564E-03, 0.25081E-04, 0.25081E-04, 0.33079E-01, 0.16381E-01, 0.16381E-01, 0.30031E+02, 0.15914E-05, 0.15914E-05, 0.13622E-02, 0.55521E-03, 0.47221E+00, 0.27297E-04, 0.63281E-05, 0.69863E-02, 0.23506E-06, 0.91968E-06, 0.83496E-03, 0.37873E-07, 0.86693E-06, 0.80665E-03, 0.34261E-07,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,5,2318,5823,32.296,32.281,363.1553,367.1450,126.03,26.75,1,1,1,M+H,M+H,939,2745,0,-31.8,-27.2,0,2448,2417,363.16684485461,367.15498442821,XXX,0,0,M+H,1,0,ASW,--,0.021129,0.010782,ASW,msuPulseA_peaks/XXX_0_0_0_363.16684485461_32.2885.txt,,0.216378313281744,1
msuPulseA_peaks/XXX_0_0_0_379.20937837293_9.0955,XX,FGR, 379.209, 1,0  , 0.34693E+02,19,   0.000, 0.10477E+03, 0.15410E-01, 0.74935E-02, 0.23612E+01, 0.50560E+00, 0.41318E+00, 0.40489E-02, 0.40489E-02, 0.14204E+02, 0.60993E+01, 0.60993E+01, 0.34090E+05, 0.19134E-03, 0.19134E-03, 0.33663E+00, 0.14147E+00, 0.32360E+03, 0.43336E-02, 0.13667E-02, 0.37605E+01, 0.34433E-04, 0.24966E-03, 0.59920E+00, 0.59168E-05, 0.24389E-03, 0.59395E+00, 0.55976E-05, 0.74001E-03, 0.74001E-03, 0.25960E+01, 0.11147E+01, 0.11147E+01, 0.62305E+04, 0.34971E-04, 0.34971E-04, 0.61524E-01, 0.25857E-01, 0.59143E+02, 0.79203E-03, 0.24979E-03, 0.68730E+00, 0.62932E-05, 0.45629E-04, 0.10951E+00, 0.10814E-05, 0.44575E-04, 0.10855E+00, 0.10231E-05, 0.39146E+00, 0.39146E+00, 0.13733E+04, 0.58970E+03, 0.58970E+03, 0.32959E+07, 0.18500E-01, 0.18500E-01, 0.32546E+02, 0.13678E+02, 0.31287E+05, 0.41898E+00, 0.13214E+00, 0.36358E+03, 0.33291E-02, 0.24138E-01, 0.57932E+02, 0.57206E-03, 0.23580E-01, 0.57425E+02, 0.54120E-03, 0.16250E-04, 0.16250E-04, 0.57006E-01, 0.24479E-01, 0.24479E-01, 0.13682E+03, 0.76794E-06, 0.76794E-06, 0.13510E-02, 0.56780E-03, 0.12987E+01, 0.17393E-04, 0.54853E-05, 0.15093E-01, 0.13820E-06, 0.10020E-05, 0.24048E-02, 0.23747E-07, 0.97885E-06, 0.23838E-02, 0.22466E-07,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,6,3469,8487,9.087,9.104,379.1991,385.1833,79.03,12.41,1,1,1,M+H,M+H,1494,4279,0,-27.1,-21.5,0,3001,2795,379.20937837293,385.19158773333,XXX,0,0,M+H,1,0,FGR,--,0.003121,0.028355,FGR,msuPulseA_peaks/XXX_0_0_0_379.20937837293_9.0955.txt,,0.176363890051626,1
msuPulseA_peaks/XXX_0_0_0_437.21485767619_10.3575,XX,DFR, 437.215, 1,0  , 0.74837E+02,19,   0.000, 0.73636E+02, 0.17589E-01, 0.70613E-02, 0.18358E+01, 0.87358E-01, 0.32865E+00, 0.42729E-02, 0.42729E-02, 0.98184E+01, 0.17631E+02, 0.17631E+02, 0.17185E+05, 0.20198E-03, 0.20198E-03, 0.27086E+00, 0.10089E+00, 0.25671E+03, 0.36529E-02, 0.74935E-03, 0.10279E+01, 0.26974E-04, 0.23132E-03, 0.40487E+00, 0.63813E-05, 0.22396E-03, 0.37183E+00, 0.60362E-05, 0.86068E-03, 0.86068E-03, 0.19777E+01, 0.35514E+01, 0.35514E+01, 0.34615E+04, 0.40685E-04, 0.40685E-04, 0.54558E-01, 0.20322E-01, 0.51708E+02, 0.73578E-03, 0.15094E-03, 0.20706E+00, 0.54334E-05, 0.46594E-04, 0.81551E-01, 0.12854E-05, 0.45112E-04, 0.74897E-01, 0.12159E-05, 0.43378E+00, 0.43378E+00, 0.99676E+03, 0.17899E+04, 0.17899E+04, 0.17446E+07, 0.20505E-01, 0.20505E-01, 0.27497E+02, 0.10242E+02, 0.26061E+05, 0.37084E+00, 0.76074E-01, 0.10436E+03, 0.27384E-02, 0.23483E-01, 0.41102E+02, 0.64782E-03, 0.22737E-01, 0.37748E+02, 0.61279E-03, 0.22358E-04, 0.22358E-04, 0.51375E-01, 0.92256E-01, 0.92256E-01, 0.89919E+02, 0.10569E-05, 0.10569E-05, 0.14173E-02, 0.52790E-03, 0.13432E+01, 0.19114E-04, 0.39210E-05, 0.53787E-02, 0.14114E-06, 0.12104E-05, 0.21185E-02, 0.33390E-07, 0.11719E-05, 0.19456E-02, 0.31585E-07,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,7,3309,9587,10.346,10.369,437.2024,443.1869,66.23,8.88,1,1,1,M+H,M+H,1421,4947,0,-28.5,-22.9,0,5000,3701,437.21485767619,443.19706703659,XXX,0,0,M+H,1,0,DFR,--,0.016140,0.101126,DFR,msuPulseA_peaks/XXX_0_0_0_437.21485767619_10.3575.txt,,0.0454242449138344,1
msuPulseA_peaks/XXX_0_0_0_459.32949350561_6.421,XX,LAKK, 459.329, 1,0  , 0.77570E+00,19,   0.000, 0.28364E+02, 0.19387E-01, 0.69011E-02, 0.22732E+00, 0.34433E-01, 0.43954E-01, 0.74441E-02, 0.74441E-02, 0.11996E+01, 0.14895E+01, 0.14895E+01, 0.21651E+03, 0.90207E-03, 0.90207E-03, 0.11258E+00, 0.61687E-01, 0.12208E+02, 0.67979E-02, 0.12947E-02, 0.30169E+00, 0.11999E-03, 0.23035E-03, 0.41573E-01, 0.21617E-04, 0.19473E-03, 0.34299E-01, 0.17216E-04, 0.10304E-02, 0.10304E-02, 0.16606E+00, 0.20618E+00, 0.20618E+00, 0.29970E+02, 0.12487E-03, 0.12487E-03, 0.15584E-01, 0.85390E-02, 0.16899E+01, 0.94100E-03, 0.17921E-03, 0.41762E-01, 0.16609E-04, 0.31886E-04, 0.57547E-02, 0.29923E-05, 0.26956E-04, 0.47478E-02, 0.23832E-05, 0.51213E+00, 0.51213E+00, 0.82531E+02, 0.10247E+03, 0.10247E+03, 0.14895E+05, 0.62060E-01, 0.62060E-01, 0.77451E+01, 0.42439E+01, 0.83988E+03, 0.46768E+00, 0.89069E-01, 0.20756E+02, 0.82549E-02, 0.15847E-01, 0.28601E+01, 0.14872E-02, 0.13397E-01, 0.23596E+01, 0.11844E-02, 0.30199E-03, 0.30199E-03, 0.48666E-01, 0.60425E-01, 0.60425E-01, 0.87832E+01, 0.36595E-04, 0.36595E-04, 0.45671E-02, 0.25025E-02, 0.49526E+00, 0.27578E-03, 0.52522E-04, 0.12239E-01, 0.48677E-05, 0.93447E-05, 0.16865E-02, 0.87695E-06, 0.78998E-05, 0.13914E-02, 0.69843E-06,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,8,10558,15877,6.404,6.438,459.3177,465.2988,6.73,1.29,1,1,1,M+H,M+H,5585,9384,0,-25.7,-27.7,0,5677,3912,459.32949350561,465.31170286601,XXX,0,0,M+H,1,1,LAKK,---,0.013919,0.013019,LAKK,msuPulseA_peaks/XXX_0_0_0_459.32949350561_6.421.txt,,0.131547680446833,1
msuPulseA_peaks/XXX_0_0_0_482.3090924142_7.587,XX,VHVK, 482.309, 1,0  , 0.45344E+01,19,   0.000, 0.60318E+02, 0.19596E-01, 0.64458E-02, 0.12021E+01, 0.86865E-01, 0.23225E+00, 0.32675E-02, 0.32675E-02, 0.29542E+01, 0.15213E+01, 0.15213E+01, 0.19950E+04, 0.25357E-03, 0.25357E-03, 0.14699E+00, 0.57320E-01, 0.35175E+02, 0.34870E-02, 0.65748E-03, 0.47190E+00, 0.32637E-04, 0.99115E-04, 0.66933E-01, 0.49317E-05, 0.92224E-04, 0.63540E-01, 0.44077E-05, 0.63456E-03, 0.63456E-03, 0.57372E+00, 0.29545E+00, 0.29545E+00, 0.38744E+03, 0.49246E-04, 0.49246E-04, 0.28547E-01, 0.11132E-01, 0.68313E+01, 0.67720E-03, 0.12769E-03, 0.91646E-01, 0.63384E-05, 0.19249E-04, 0.12999E-01, 0.95778E-06, 0.17910E-04, 0.12340E-01, 0.85600E-06, 0.33568E+00, 0.33568E+00, 0.30350E+03, 0.15630E+03, 0.15630E+03, 0.20496E+06, 0.26051E-01, 0.26051E-01, 0.15101E+02, 0.58888E+01, 0.36138E+04, 0.35824E+00, 0.67547E-01, 0.48481E+02, 0.33530E-02, 0.10183E-01, 0.68764E+01, 0.50666E-03, 0.94746E-02, 0.65278E+01, 0.45283E-03, 0.29640E-04, 0.29640E-04, 0.26798E-01, 0.13801E-01, 0.13801E-01, 0.18097E+02, 0.23002E-05, 0.23002E-05, 0.13334E-02, 0.51997E-03, 0.31909E+00, 0.31632E-04, 0.59642E-05, 0.42808E-02, 0.29606E-06, 0.89910E-06, 0.60717E-03, 0.44737E-07, 0.83659E-06, 0.57639E-03, 0.39983E-07,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,9,4554,10285,7.575,7.599,482.2967,489.2749,37.29,7.16,1,1,1,M+H,M+H,2051,5407,0,-25.7,-27.5,0,6396,4090,482.3090924142,489.288336668,XXX,0,0,M+H,1,0,VHVK,---,0.906691,0.009816,VHVK,msuPulseA_peaks/XXX_0_0_0_482.3090924142_7.587.txt,,0.0673912790494699,1
msuPulseA_peaks/XXX_0_0_0_656.37314922274_28.7705,XX,DGLPRV, 656.373, 1,0  , 0.17782E+03,19,   0.000, 0.94864E+02, 0.26562E-01, 0.52359E-02, 0.23484E+01, 0.12678E+01, 0.40492E+00, 0.73658E-02, 0.73658E-02, 0.39593E+02, 0.36786E+02, 0.36786E+02, 0.24901E+06, 0.24689E-03, 0.24689E-03, 0.65558E+00, 0.41326E+00, 0.27216E+04, 0.80112E-02, 0.49243E-02, 0.34493E+02, 0.85151E-04, 0.81906E-03, 0.51512E+01, 0.13562E-04, 0.81263E-03, 0.51440E+01, 0.13185E-04, 0.90653E-03, 0.90653E-03, 0.48729E+01, 0.45274E+01, 0.45274E+01, 0.30646E+05, 0.30386E-04, 0.30386E-04, 0.80684E-01, 0.50861E-01, 0.33495E+03, 0.98597E-03, 0.60605E-03, 0.42451E+01, 0.10480E-04, 0.10080E-03, 0.63397E+00, 0.16691E-05, 0.10001E-03, 0.63309E+00, 0.16227E-05, 0.49859E+00, 0.49859E+00, 0.26801E+04, 0.24901E+04, 0.24901E+04, 0.16855E+08, 0.16712E-01, 0.16712E-01, 0.44376E+02, 0.27974E+02, 0.18423E+06, 0.54228E+00, 0.33333E+00, 0.23348E+04, 0.57639E-02, 0.55442E-01, 0.34868E+03, 0.91800E-03, 0.55007E-01, 0.34820E+03, 0.89248E-03, 0.28249E-04, 0.28249E-04, 0.15185E+00, 0.14108E+00, 0.14108E+00, 0.95498E+03, 0.94686E-06, 0.94686E-06, 0.25142E-02, 0.15849E-02, 0.10438E+02, 0.30724E-04, 0.18885E-04, 0.13228E+00, 0.32656E-06, 0.31412E-05, 0.19755E-01, 0.52011E-07, 0.31165E-05, 0.19728E-01, 0.50565E-07,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,10,120,1297,28.795,28.746,656.3530,665.3276,131.52,20.92,1,1,1,M+H,M+H,38,478,0,-30.7,-28.4,0,10753,1124,656.37314922274,665.34646326334,XXX,0,0,M+H,1,0,DGLPRV,-----,0.036386,0.002672,DGLPRV,msuPulseA_peaks/XXX_0_0_0_656.37314922274_28.7705.txt,,0.350589016094243,1
