isofile,isoprotein,isopep,mw,isoz_charge,tim,chisq,symb,mz,B,OFF,GW,AMP_U,AMP_L,AMP_S,FRC_NX,avg_wr1A,avg_wr2A,avg_wr3A,avg_wr4A,avavg_wr6A,avg_wr7A,avg_wr8A,avg_wr9A,avg_wr10A,avg_wr11A,avg_wr12A,avg_wr13A,avg_wr14A,avg_wr15A,avg_wr16A,avg_wr17A,avg_wr18A,avg_wr19A,avg_wr20A,avg_wr21A,avg_wr1B,avg_wr2B,avg_wr3B,avg_wr4B,avavg_wr6B,avg_wr7B,avg_wr8B,avg_wr9B,avg_wr10B,avg_wr11B,avg_wr12B,avg_wr13B,avg_wr14B,avg_wr15B,avg_wr16B,avg_wr17B,avg_wr18B,avg_wr19B,avg_wr20B,avg_wr21B,avg_wr1C,avg_wr2C,avg_wr3C,avg_wr4C,avavg_wr6C,avg_wr7C,avg_wr8C,avg_wr9C,avg_wr10C,avg_wr11C,avg_wr12C,avg_wr13C,avg_wr14C,avg_wr15C,avg_wr16C,avg_wr17C,avg_wr18C,avg_wr19C,avg_wr20C,avg_wr21C,avg_wr1D,avg_wr2D,avg_wr3D,avg_wr4D,avavg_wr6D,avg_wr7D,avg_wr8D,avg_wr9D,avg_wr10D,avg_wr11D,avg_wr12D,avg_wr13D,avg_wr14D,avg_wr15D,avg_wr16D,avg_wr17D,avg_wr18D,avg_wr19D,avg_wr20D,avg_wr21D,avg_wr1E,avg_wr2E,avg_wr3E,avg_wr4E,avavg_wr6E,avg_wr7E,avg_wr8E,avg_wr9E,avg_wr10E,avg_wr11E,avg_wr12E,avg_wr13E,avg_wr14E,avg_wr15E,avg_wr16E,avg_wr17E,avg_wr18E,avg_wr19E,avg_wr20E,avg_wr21E,isoid,ailid_n14,ailid_n15,rt_n14,rt_n15,mz_n14,mz_n15,abundance_n14,abundance_n15,ailcharge,pks_multimer_n14,pks_multimer_n15,pks_ailiontype_n14,pks_ailiontype_n15,pks_featureid_n14,pks_featureid_n15,matchmode,ppm_n14,ppm_n15,sampleid,digestionid,digestpepid,n14mass,n15mass,protein,startres,endres,iontype,charge,missed,seq,mod,n14prox,n15prox,seqmod,file,comment,frac_lab,display_flag
msuPulseD_peaks/XXX_0_0_0_549.35129157935_10.7395,XX,FKRV, 549.351, 1,0  , 0.16698E+00,19,   0.000, 0.21273E+02, 0.20862E-01, 0.60316E-02, 0.58594E+00, 0.82646E-01, 0.79588E-01, 0.90000E+00, 0.17145E-01, 0.17118E-01, 0.20535E+03, 0.20315E+03, 0.20315E+03, 0.35954E+07, 0.32724E-03, 0.32421E-03, 0.17344E+01, 0.17209E+01, 0.26323E+05, 0.17219E-01, 0.16340E-01, 0.20305E+03, 0.19505E-03, 0.80437E-02, 0.14084E+03, 0.67937E-04, 0.80415E-02, 0.14084E+03, 0.67730E-04, 0.17875E-02, 0.17847E-02, 0.21409E+02, 0.21180E+02, 0.21179E+02, 0.37485E+06, 0.34118E-04, 0.33801E-04, 0.18082E+00, 0.17942E+00, 0.27443E+04, 0.17952E-02, 0.17036E-02, 0.21170E+02, 0.20335E-04, 0.83861E-03, 0.14683E+02, 0.70829E-05, 0.83839E-03, 0.14683E+02, 0.70613E-05, 0.97239E+00, 0.97085E+00, 0.11646E+05, 0.11522E+05, 0.11522E+05, 0.20392E+09, 0.18560E-01, 0.18388E-01, 0.98366E+02, 0.97603E+02, 0.14929E+07, 0.97657E+00, 0.92675E+00, 0.11516E+05, 0.11062E-01, 0.45621E+00, 0.79877E+04, 0.38531E-02, 0.45608E+00, 0.79877E+04, 0.38414E-02, 0.82039E-04, 0.81910E-04, 0.98260E+00, 0.97208E+00, 0.97207E+00, 0.17204E+05, 0.15659E-05, 0.15514E-05, 0.82990E-02, 0.82347E-02, 0.12596E+03, 0.82392E-04, 0.78189E-04, 0.97162E+00, 0.93333E-06, 0.38490E-04, 0.67392E+00, 0.32508E-06, 0.38479E-04, 0.67391E+00, 0.32409E-06,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,299,4035,4266,10.737,10.742,549.3374,557.3163,4.09,2.54,1,1,1,M+H,M+H,1693,1798,0,-25.3,-20.2,0,8240,4538,549.35129157935,557.32757072655,XXX,0,0,M+H,1,1,FKRV,---,0.028806,0.048969,FKRV,msuPulseD_peaks/XXX_0_0_0_549.35129157935_10.7395.txt,,0.123613117833757,1
msuPulseD_peaks/XXX_0_0_0_459.32949350561_7.297,XX,LAKK, 459.329, 1,0  , 0.17821E+00,19,   0.000, 0.22500E+02, 0.16777E-01, 0.70284E-02, 0.75851E-01, 0.17730E-01, 0.56777E-01, 0.90000E+00, 0.14297E-01, 0.14292E-01, 0.28365E+03, 0.28291E+03, 0.28291E+03, 0.77732E+07, 0.22166E-03, 0.22102E-03, 0.18728E+01, 0.18660E+01, 0.45987E+05, 0.14329E-01, 0.13713E-01, 0.28286E+03, 0.12758E-03, 0.72151E-02, 0.19773E+03, 0.47640E-04, 0.72144E-02, 0.19773E+03, 0.47554E-04, 0.19519E-02, 0.19512E-02, 0.38724E+02, 0.38623E+02, 0.38623E+02, 0.10612E+07, 0.30262E-04, 0.30173E-04, 0.25568E+00, 0.25475E+00, 0.62781E+04, 0.19562E-02, 0.18721E-02, 0.38616E+02, 0.17417E-04, 0.98501E-03, 0.26994E+02, 0.65038E-05, 0.98491E-03, 0.26994E+02, 0.64921E-05, 0.97008E+00, 0.96973E+00, 0.19246E+05, 0.19196E+05, 0.19196E+05, 0.52742E+09, 0.15040E-01, 0.14996E-01, 0.12707E+03, 0.12661E+03, 0.31202E+07, 0.97225E+00, 0.93045E+00, 0.19192E+05, 0.86561E-02, 0.48955E+00, 0.13416E+05, 0.32324E-02, 0.48950E+00, 0.13416E+05, 0.32266E-02, 0.50173E-04, 0.50155E-04, 0.99539E+00, 0.99281E+00, 0.99281E+00, 0.27278E+05, 0.77788E-06, 0.77560E-06, 0.65723E-02, 0.65482E-02, 0.16138E+03, 0.50285E-04, 0.48123E-04, 0.99262E+00, 0.44769E-06, 0.25320E-04, 0.69387E+00, 0.16718E-06, 0.25317E-04, 0.69387E+00, 0.16688E-06,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,302,11989,12708,7.278,7.316,459.3206,465.3023,2.83,2.22,1,1,1,M+H,M+H,6385,6870,0,-19.4,-20.2,0,5677,3912,459.32949350561,465.31170286601,XXX,0,0,M+H,1,1,LAKK,---,0.013919,0.013019,LAKK,msuPulseD_peaks/XXX_0_0_0_459.32949350561_7.297.txt,,0.189461535995555,1
msuPulseD_peaks/XXX_0_0_0_656.37314922274_38.987,XX,DGLPRV, 656.373, 1,0  , 0.11321E+01,19,   0.000, 0.35455E+02, 0.24410E-01, 0.52446E-02, 0.25319E+00, 0.35635E+00, 0.42693E+00, 0.10000E+00, 0.12437E-01, 0.12433E-01, 0.27505E+03, 0.25830E+03, 0.25830E+03, 0.77337E+07, 0.21781E-03, 0.21737E-03, 0.17914E+01, 0.17064E+01, 0.43939E+05, 0.13077E-01, 0.11680E-01, 0.25821E+03, 0.10646E-03, 0.71650E-02, 0.20146E+03, 0.46665E-04, 0.71640E-02, 0.20146E+03, 0.46534E-04, 0.15166E-02, 0.15160E-02, 0.33538E+02, 0.31496E+02, 0.31496E+02, 0.94302E+06, 0.26559E-04, 0.26505E-04, 0.21843E+00, 0.20807E+00, 0.53578E+04, 0.15946E-02, 0.14243E-02, 0.31485E+02, 0.12981E-04, 0.87368E-03, 0.24566E+02, 0.56902E-05, 0.87355E-03, 0.24566E+02, 0.56742E-05, 0.83411E+00, 0.83383E+00, 0.18446E+05, 0.17323E+05, 0.17323E+05, 0.51866E+09, 0.14607E-01, 0.14578E-01, 0.12014E+03, 0.11444E+03, 0.29468E+07, 0.87701E+00, 0.78334E+00, 0.17317E+05, 0.71397E-02, 0.48052E+00, 0.13511E+05, 0.31296E-02, 0.48045E+00, 0.13511E+05, 0.31208E-02, 0.40366E-04, 0.40352E-04, 0.89268E+00, 0.83832E+00, 0.83832E+00, 0.25100E+05, 0.70691E-06, 0.70547E-06, 0.58140E-02, 0.55381E-02, 0.14261E+03, 0.42442E-04, 0.37909E-04, 0.83802E+00, 0.34552E-06, 0.23254E-04, 0.65385E+00, 0.15145E-06, 0.23251E-04, 0.65385E+00, 0.15103E-06,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,37,1061,4504,38.990,38.984,656.3593,665.3350,22.56,19.54,1,1,1,M+H,M+H,373,1915,0,-21.1,-17.2,0,10753,1124,656.37314922274,665.34646326334,XXX,0,0,M+H,1,0,DGLPRV,-----,0.036386,0.002672,DGLPRV,msuPulseD_peaks/XXX_0_0_0_656.37314922274_38.987.txt,,0.584621189749647,1
msuPulseD_peaks/XXX_0_0_0_698.42009941516_34.6565,XX,GQIPGVK, 698.420, 1,0  , 0.18971E+01,19,   0.000, 0.26500E+02, 0.25257E-01, 0.52326E-02, 0.26525E+00, 0.68585E-01, 0.27933E+00, 0.82136E+00, 0.68763E-02, 0.68763E-02, 0.38767E+01, 0.30266E+01, 0.30266E+01, 0.24177E+04, 0.75381E-03, 0.75381E-03, 0.22890E+00, 0.11703E+00, 0.74147E+02, 0.83910E-02, 0.35706E-02, 0.24736E+01, 0.20802E-03, 0.61848E-03, 0.38571E+00, 0.36519E-04, 0.60266E-03, 0.38302E+00, 0.34039E-04, 0.66618E-03, 0.66618E-03, 0.37558E+00, 0.29322E+00, 0.29322E+00, 0.23422E+03, 0.73029E-04, 0.73029E-04, 0.22176E-01, 0.11338E-01, 0.71834E+01, 0.81292E-03, 0.34592E-03, 0.23965E+00, 0.20153E-04, 0.59919E-04, 0.37368E-01, 0.35379E-05, 0.58385E-04, 0.37107E-01, 0.32977E-05, 0.36040E+00, 0.36040E+00, 0.20319E+03, 0.15863E+03, 0.15863E+03, 0.12672E+06, 0.39509E-01, 0.39509E-01, 0.11997E+02, 0.61337E+01, 0.38862E+04, 0.43979E+00, 0.18714E+00, 0.12965E+03, 0.10903E-01, 0.32416E-01, 0.20216E+02, 0.19140E-02, 0.31587E-01, 0.20075E+02, 0.17840E-02, 0.14324E-03, 0.14324E-03, 0.80757E-01, 0.63049E-01, 0.63049E-01, 0.50364E+02, 0.15703E-04, 0.15703E-04, 0.47683E-02, 0.24379E-02, 0.15446E+01, 0.17480E-03, 0.74380E-04, 0.51529E-01, 0.43333E-05, 0.12884E-04, 0.80349E-02, 0.76073E-06, 0.12554E-04, 0.79789E-02, 0.70907E-06,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,65,683,561,34.684,34.629,698.4060,707.3777,24.87,24.87,1,1,1,M+H,M+H,233,189,0,-20.2,-22.2,0,11612,1957,698.42009941516,707.39341345576,XXX,0,0,M+H,1,0,GQIPGVK,------,0.017758,0.017758,GQIPGVK,msuPulseD_peaks/XXX_0_0_0_698.42009941516_34.6565.txt,,0.205445804064882,1
msuPulseD_peaks/XXX_0_0_0_437.21485767619_11.1515,XX,DFR, 437.215, 1,0  , 0.35408E+01,19,   0.000, 0.38727E+02, 0.13280E-01, 0.68129E-02, 0.35044E+00, 0.49499E-01, 0.27188E+00, 0.29201E+00, 0.64808E-02, 0.64808E-02, 0.26071E+01, 0.39876E+01, 0.39876E+01, 0.95336E+03, 0.62052E-03, 0.62052E-03, 0.17635E+00, 0.79300E-01, 0.39216E+02, 0.64365E-02, 0.14337E-02, 0.59052E+00, 0.99055E-04, 0.29360E-03, 0.10736E+00, 0.19860E-04, 0.26945E-03, 0.90153E-01, 0.17483E-04, 0.78656E-03, 0.78656E-03, 0.31641E+00, 0.48396E+00, 0.48396E+00, 0.11571E+03, 0.75311E-04, 0.75311E-04, 0.21403E-01, 0.96243E-02, 0.47595E+01, 0.78118E-03, 0.17401E-03, 0.71669E-01, 0.12022E-04, 0.35633E-04, 0.13030E-01, 0.24103E-05, 0.32702E-04, 0.10942E-01, 0.21218E-05, 0.39642E+00, 0.39642E+00, 0.15947E+03, 0.24391E+03, 0.24391E+03, 0.58315E+05, 0.37957E-01, 0.37957E-01, 0.10787E+02, 0.48507E+01, 0.23988E+04, 0.39371E+00, 0.87699E-01, 0.36121E+02, 0.60590E-02, 0.17959E-01, 0.65674E+01, 0.12148E-02, 0.16482E-01, 0.55145E+01, 0.10694E-02, 0.11682E-03, 0.11682E-03, 0.46992E-01, 0.71875E-01, 0.71875E-01, 0.17184E+02, 0.11185E-04, 0.11185E-04, 0.31787E-02, 0.14294E-02, 0.70686E+00, 0.11602E-03, 0.25843E-04, 0.10644E-01, 0.17854E-05, 0.52921E-05, 0.19352E-02, 0.35797E-06, 0.48567E-05, 0.16250E-02, 0.31512E-06,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,90,5577,6642,11.151,11.152,437.2066,443.1898,15.70,12.25,1,1,1,M+H,M+H,2486,3071,0,-18.9,-16.4,0,5000,3701,437.21485767619,443.19706703659,XXX,0,0,M+H,1,0,DFR,--,0.016140,0.101126,DFR,msuPulseD_peaks/XXX_0_0_0_437.21485767619_11.1515.txt,,0.123766374372092,1
msuPulseD_peaks/XXX_1_3_0_375.20660149161_8.829,XX,MPK, 375.207, 1,1  , 0.40426E+01,19,   3.000, 0.40727E+02, 0.22010E-01, 0.68408E-02, 0.19530E+00, 0.22173E+00, 0.57730E-01, 0.90000E+00, 0.15889E-01, 0.15889E-01, 0.21850E+03, 0.20990E+03, 0.20990E+03, 0.44183E+07, 0.33123E-03, 0.33123E-03, 0.17149E+01, 0.16564E+01, 0.29791E+05, 0.15767E-01, 0.13837E-01, 0.20878E+03, 0.15403E-03, 0.73655E-02, 0.14894E+03, 0.57808E-04, 0.73615E-02, 0.14894E+03, 0.57490E-04, 0.21032E-02, 0.21032E-02, 0.28922E+02, 0.27783E+02, 0.27783E+02, 0.58484E+06, 0.43844E-04, 0.43844E-04, 0.22700E+00, 0.21925E+00, 0.39433E+04, 0.20870E-02, 0.18316E-02, 0.27636E+02, 0.20388E-04, 0.97495E-03, 0.19715E+02, 0.76519E-05, 0.97442E-03, 0.19714E+02, 0.76098E-05, 0.92963E+00, 0.92963E+00, 0.12784E+05, 0.12280E+05, 0.12280E+05, 0.25850E+09, 0.19379E-01, 0.19379E-01, 0.10033E+03, 0.96911E+02, 0.17430E+07, 0.92247E+00, 0.80956E+00, 0.12215E+05, 0.90115E-02, 0.43093E+00, 0.87139E+04, 0.33821E-02, 0.43069E+00, 0.87138E+04, 0.33635E-02, 0.67877E-04, 0.67877E-04, 0.93340E+00, 0.89665E+00, 0.89665E+00, 0.18874E+05, 0.14150E-05, 0.14150E-05, 0.73258E-02, 0.70760E-02, 0.12726E+03, 0.67355E-04, 0.59110E-04, 0.89190E+00, 0.65798E-06, 0.31465E-04, 0.63625E+00, 0.24695E-06, 0.31447E-04, 0.63624E+00, 0.24559E-06,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,727,9275,8771,8.844,8.814,375.1919,379.1807,4.41,5.32,1,1,1,M+H,M+H,4614,4294,0,-39.2,-37.0,0,2859,2717,375.20660149161,379.19474106521,XXX,1,3,M+H,1,0,MPK,--,0.007394,0.006775,MPK,msuPulseD_peaks/XXX_1_3_0_375.20660149161_8.829.txt,,0.531688367743328,1
msuPulseD_peaks/XXX_0_0_0_393.25018055575_9.9175,XX,FKV, 393.250, 1,0  , 0.95831E+01,19,   0.000, 0.68955E+02, 0.12594E-01, 0.68175E-02, 0.44135E+01, 0.37503E+00, 0.85055E+00, 0.90000E+00, 0.85637E-02, 0.85637E-02, 0.41253E+03, 0.33544E+03, 0.33544E+03, 0.27923E+08, 0.11603E-03, 0.11603E-03, 0.17570E+01, 0.15917E+01, 0.93376E+05, 0.84555E-02, 0.72485E-02, 0.32974E+03, 0.46850E-04, 0.36589E-02, 0.24766E+03, 0.15584E-04, 0.36548E-02, 0.24762E+03, 0.15502E-04, 0.21399E-02, 0.21399E-02, 0.10308E+03, 0.83820E+02, 0.83820E+02, 0.69774E+07, 0.28993E-04, 0.28993E-04, 0.43904E+00, 0.39774E+00, 0.23333E+05, 0.21129E-02, 0.18113E-02, 0.82396E+02, 0.11707E-04, 0.91430E-03, 0.61887E+02, 0.38941E-05, 0.91326E-03, 0.61875E+02, 0.38738E-05, 0.93086E+00, 0.93086E+00, 0.44841E+05, 0.36462E+05, 0.36462E+05, 0.30352E+10, 0.12612E-01, 0.12612E-01, 0.19098E+03, 0.17302E+03, 0.10150E+08, 0.91910E+00, 0.78790E+00, 0.35842E+05, 0.50925E-02, 0.39772E+00, 0.26921E+05, 0.16939E-02, 0.39727E+00, 0.26916E+05, 0.16851E-02, 0.16412E-04, 0.16412E-04, 0.79061E+00, 0.64287E+00, 0.64287E+00, 0.53514E+05, 0.22237E-06, 0.22237E-06, 0.33673E-02, 0.30505E-02, 0.17896E+03, 0.16205E-04, 0.13892E-04, 0.63195E+00, 0.89788E-07, 0.70124E-05, 0.47465E+00, 0.29866E-07, 0.70044E-05, 0.47456E+00, 0.29711E-07,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,322,3253,4013,9.918,9.917,393.2417,397.2301,41.69,28.40,1,1,1,M+H,M+H,1305,1682,0,-21.6,-20.7,0,3520,3106,393.25018055575,397.23832012935,XXX,0,0,M+H,1,0,FKV,--,0.004007,0.012584,FKV,msuPulseD_peaks/XXX_0_0_0_393.25018055575_9.9175.txt,,0.0783183983393651,1
msuPulseD_peaks/XXX_0_0_0_363.16684485461_35.1215,XX,ASW, 363.167, 1,0  , 0.10171E+02,19,   0.000, 0.58909E+02, 0.15937E-01, 0.73336E-02, 0.34670E+01, 0.49674E+00, 0.30821E+00, 0.90000E+00, 0.21176E-01, 0.21176E-01, 0.11130E+04, 0.11044E+04, 0.11044E+04, 0.79288E+08, 0.17433E-03, 0.17433E-03, 0.45241E+01, 0.45132E+01, 0.28929E+06, 0.20741E-01, 0.20118E-01, 0.11034E+04, 0.10594E-03, 0.11141E-01, 0.79369E+03, 0.45287E-04, 0.11140E-01, 0.79369E+03, 0.45210E-04, 0.22815E-02, 0.22815E-02, 0.11991E+03, 0.11899E+03, 0.11899E+03, 0.85425E+07, 0.18783E-04, 0.18783E-04, 0.48743E+00, 0.48625E+00, 0.31168E+05, 0.22347E-02, 0.21675E-02, 0.11888E+03, 0.11414E-04, 0.12004E-02, 0.85511E+02, 0.48792E-05, 0.12002E-02, 0.85511E+02, 0.48709E-05, 0.10176E+01, 0.10176E+01, 0.53482E+05, 0.53069E+05, 0.53069E+05, 0.38099E+10, 0.83770E-02, 0.83770E-02, 0.21739E+03, 0.21687E+03, 0.13901E+08, 0.99665E+00, 0.96669E+00, 0.53020E+05, 0.50907E-02, 0.53536E+00, 0.38138E+05, 0.21761E-02, 0.53528E+00, 0.38138E+05, 0.21724E-02, 0.18786E-04, 0.18786E-04, 0.98735E+00, 0.97972E+00, 0.97972E+00, 0.70337E+05, 0.15465E-06, 0.15465E-06, 0.40134E-02, 0.40036E-02, 0.25663E+03, 0.18400E-04, 0.17846E-04, 0.97882E+00, 0.93981E-07, 0.98835E-05, 0.70408E+00, 0.40174E-07, 0.98819E-05, 0.70408E+00, 0.40106E-07,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,404,3724,4373,35.147,35.096,363.1631,367.1488,33.55,26.40,1,1,1,M+H,M+H,1535,1848,0,-10.3,-16.8,0,2448,2417,363.16684485461,367.15498442821,XXX,0,0,M+H,1,0,ASW,--,0.021129,0.010782,ASW,msuPulseD_peaks/XXX_0_0_0_363.16684485461_35.1215.txt,,0.125321035183942,1
msuPulseD_peaks/XXX_0_0_0_505.29206245107_9.129,XX,AKMR, 505.292, 1,0  , 0.14785E+02,19,   0.000, 0.38500E+02, 0.21659E-01, 0.60438E-02, 0.37494E-01, 0.54597E+00, 0.55263E-01, 0.51927E+00, 0.24007E-01, 0.24007E-01, 0.32210E+02, 0.33469E+02, 0.33469E+02, 0.85677E+05, 0.14096E-02, 0.14096E-02, 0.78602E+00, 0.69010E+00, 0.15155E+04, 0.22793E-01, 0.14566E-01, 0.26582E+02, 0.52449E-03, 0.72916E-02, 0.19395E+02, 0.17793E-03, 0.72083E-02, 0.19334E+02, 0.17017E-03, 0.14203E-02, 0.14203E-02, 0.19057E+01, 0.19801E+01, 0.19801E+01, 0.50690E+04, 0.83396E-04, 0.83396E-04, 0.46504E-01, 0.40829E-01, 0.89665E+02, 0.13485E-02, 0.86181E-03, 0.15727E+01, 0.31031E-04, 0.43140E-03, 0.11475E+01, 0.10527E-04, 0.42647E-03, 0.11439E+01, 0.10068E-04, 0.79396E+00, 0.79396E+00, 0.10653E+04, 0.11069E+04, 0.11069E+04, 0.28336E+07, 0.46619E-01, 0.46619E-01, 0.25996E+02, 0.22824E+02, 0.50123E+05, 0.75383E+00, 0.48175E+00, 0.87915E+03, 0.17346E-01, 0.24115E+00, 0.64145E+03, 0.58848E-02, 0.23840E+00, 0.63942E+03, 0.56281E-02, 0.51032E-03, 0.51032E-03, 0.68471E+00, 0.71146E+00, 0.71146E+00, 0.18213E+04, 0.29964E-04, 0.29964E-04, 0.16709E-01, 0.14670E-01, 0.32216E+02, 0.48452E-03, 0.30964E-03, 0.56507E+00, 0.11149E-04, 0.15500E-03, 0.41229E+00, 0.37824E-05, 0.15323E-03, 0.41098E+00, 0.36175E-05,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,141,8613,8657,9.154,9.104,505.2845,513.2468,1.62,2.47,1,1,1,M+H,M+H,4202,4224,0,-15.0,-42.0,0,7052,4230,505.29206245107,513.26834159827,XXX,0,0,M+H,1,1,AKMR,---,0.027574,0.019995,AKMR,msuPulseD_peaks/XXX_0_0_0_505.29206245107_9.129.txt,,0.93573896590021,1
msuPulseD_peaks/XXX_0_0_0_656.37314922274_30.1755,XX,DGLPRV, 656.373, 1,0  , 0.25481E+02,19,   0.000, 0.39455E+02, 0.11015E-01, 0.47700E-02, 0.25817E+00, 0.42300E+00, 0.22574E+00, 0.44535E+00, 0.22055E-01, 0.22055E-01, 0.26963E+02, 0.42609E+02, 0.42609E+02, 0.59837E+05, 0.11505E-02, 0.11505E-02, 0.76609E+00, 0.64516E+00, 0.14114E+04, 0.21521E-01, 0.18270E-01, 0.42208E+02, 0.54877E-03, 0.45086E-02, 0.10006E+02, 0.12810E-03, 0.44827E-02, 0.10003E+02, 0.12405E-03, 0.12454E-02, 0.12454E-02, 0.15225E+01, 0.24060E+01, 0.24060E+01, 0.33788E+04, 0.64965E-04, 0.64965E-04, 0.43258E-01, 0.36430E-01, 0.79697E+02, 0.12152E-02, 0.10316E-02, 0.23833E+01, 0.30987E-04, 0.25459E-03, 0.56499E+00, 0.72335E-05, 0.25312E-03, 0.56483E+00, 0.70049E-05, 0.68497E+00, 0.68497E+00, 0.83737E+03, 0.13233E+04, 0.13233E+04, 0.18583E+07, 0.35731E-01, 0.35731E-01, 0.23792E+02, 0.20037E+02, 0.43833E+05, 0.66837E+00, 0.56741E+00, 0.13108E+04, 0.17043E-01, 0.14002E+00, 0.31074E+03, 0.39784E-02, 0.13922E+00, 0.31066E+03, 0.38527E-02, 0.33108E-03, 0.33108E-03, 0.40475E+00, 0.63962E+00, 0.63962E+00, 0.89823E+03, 0.17271E-04, 0.17271E-04, 0.11500E-01, 0.96848E-02, 0.21187E+02, 0.32306E-03, 0.27426E-03, 0.63360E+00, 0.82378E-05, 0.67680E-04, 0.15020E+00, 0.19230E-05, 0.67292E-04, 0.15016E+00, 0.18622E-05,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,36,162,534,30.206,30.145,656.3604,665.3357,23.76,17.97,1,1,1,M+H,M+H,54,179,0,-19.4,-16.2,0,10753,1124,656.37314922274,665.34646326334,XXX,0,0,M+H,1,0,DGLPRV,-----,0.036386,0.002672,DGLPRV,msuPulseD_peaks/XXX_0_0_0_656.37314922274_30.1755.txt,,0.620990354830659,1
msuPulseD_peaks/XXX_0_0_0_306.15998565236_6.9305,XX,MR, 306.160, 1,0  , 0.75547E+02,19,   0.000, 0.63167E+02, 0.33779E-01, 0.14039E-01, 0.14508E+01, 0.55222E-02, 0.20395E+01, 0.90000E+00, 0.84716E-02, 0.84710E-02, 0.20418E+04, 0.20526E+04, 0.20526E+04, 0.73538E+09, 0.39567E-04, 0.39521E-04, 0.37495E+01, 0.37602E+01, 0.11958E+07, 0.79587E-02, 0.77545E-02, 0.20437E+04, 0.19631E-04, 0.40629E-02, 0.14633E+04, 0.74611E-05, 0.40620E-02, 0.14633E+04, 0.74507E-05, 0.20581E-02, 0.20580E-02, 0.49604E+03, 0.49867E+03, 0.49867E+03, 0.17866E+09, 0.96126E-05, 0.96015E-05, 0.91092E+00, 0.91353E+00, 0.29052E+06, 0.19335E-02, 0.18839E-02, 0.49652E+03, 0.47693E-05, 0.98707E-03, 0.35551E+03, 0.18126E-05, 0.98684E-03, 0.35551E+03, 0.18101E-05, 0.10702E+01, 0.10702E+01, 0.25794E+06, 0.25931E+06, 0.25931E+06, 0.92902E+11, 0.49985E-02, 0.49928E-02, 0.47368E+03, 0.47504E+03, 0.15107E+09, 0.10054E+01, 0.97965E+00, 0.25819E+06, 0.24800E-02, 0.51328E+00, 0.18487E+06, 0.94257E-03, 0.51316E+00, 0.18486E+06, 0.94127E-03, 0.41446E-05, 0.41444E-05, 0.99891E+00, 0.10042E+01, 0.10042E+01, 0.35977E+06, 0.19357E-07, 0.19335E-07, 0.18344E-02, 0.18396E-02, 0.58503E+03, 0.38937E-05, 0.37938E-05, 0.99988E+00, 0.96042E-08, 0.19877E-05, 0.71592E+00, 0.36502E-08, 0.19873E-05, 0.71591E+00, 0.36452E-08,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,   +Infinity,687,3630,2891,6.913,6.948,306.1536,311.1395,35.28,57.43,1,1,1,M+H,M+Na,1486,1132,0,-20.9,-18.2,0,259,259,306.15998565236,311.14516011936,XXX,0,0,M+H,1,0,MR,-,0.977491,0.968479,MR,msuPulseD_peaks/XXX_0_0_0_306.15998565236_6.9305.txt,,0.00379188067036264,1
